nameWithOwner,createdAt,updatedAt,releases.totalCount,primaryLanguage.name,pullRequests.totalCount,totalIssues.totalCount,closedIssues.totalCount
angular/angular.js,2010-01-06T00:34:37Z,2022-08-25T13:31:59Z,0,JavaScript,789,9040,8649
fatedier/frp,2015-12-21T15:24:59Z,2022-08-25T14:24:33Z,73,Go,391,2461,2355
reduxjs/redux,2015-05-29T23:53:15Z,2022-08-25T11:41:33Z,67,TypeScript,1543,1963,1922
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,2022-08-25T13:53:47Z,21,Python,14,2267,2244
atom/atom,2012-01-20T18:18:21Z,2022-08-25T13:46:00Z,538,JavaScript,3928,17044,16129
resume/resume.github.com,2011-02-06T13:39:55Z,2022-08-25T14:23:35Z,0,JavaScript,84,107,59
pytorch/pytorch,2016-08-13T05:26:41Z,2022-08-25T14:13:20Z,41,C++,5171,27894,18804
expressjs/express,2009-06-26T18:56:01Z,2022-08-25T14:20:32Z,146,JavaScript,257,3693,3587
kdn251/interviews,2017-02-14T18:19:25Z,2022-08-25T11:55:19Z,0,Java,42,49,19
chartjs/Chart.js,2013-03-17T23:56:36Z,2022-08-25T10:13:42Z,91,JavaScript,2718,6527,6373
ripienaar/free-for-dev,2015-03-18T21:06:26Z,2022-08-25T14:02:43Z,0,HTML,1928,0,0
neovim/neovim,2014-01-31T13:39:22Z,2022-08-25T14:35:29Z,27,Vim Script,7766,8510,7302
florinpop17/app-ideas,2019-02-25T18:36:56Z,2022-08-25T14:35:02Z,0,,149,78,32
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,2022-08-25T12:50:28Z,0,,49,66,19
jquery/jquery,2009-04-03T15:20:14Z,2022-08-25T10:27:53Z,2,JavaScript,553,2192,2119
socketio/socket.io,2010-03-11T18:24:48Z,2022-08-25T14:37:45Z,50,TypeScript,408,3235,3137
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2022-08-25T14:30:20Z,0,JavaScript,347,0,0
redis/redis,2009-03-21T22:32:25Z,2022-08-25T13:16:25Z,35,C,2945,5596,3896
adam-p/markdown-here,2012-05-13T03:27:22Z,2022-08-25T14:16:00Z,11,JavaScript,20,593,308
coder/code-server,2019-02-27T16:50:41Z,2022-08-25T14:18:06Z,80,TypeScript,1132,2983,2807
keras-team/keras,2015-03-28T00:35:42Z,2022-08-25T14:20:29Z,39,Python,2690,11421,11177
protocolbuffers/protobuf,2014-08-26T15:52:15Z,2022-08-25T12:40:40Z,104,C++,3878,5125,4367
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,2022-08-25T13:43:04Z,0,Python,744,75,74
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,2022-08-25T14:13:14Z,0,,25,0,0
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,2022-08-25T13:07:36Z,0,Nunjucks,422,128,124
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,2022-08-25T14:22:24Z,55,C#,278,2804,2706
iptv-org/iptv,2018-11-14T22:00:57Z,2022-08-25T13:43:54Z,0,JavaScript,4424,2794,2325
home-assistant/core,2013-09-17T07:29:48Z,2022-08-25T14:21:17Z,975,Python,38563,31373,29970
ansible/ansible,2012-03-06T14:58:02Z,2022-08-25T14:37:38Z,0,Python,35518,30679,29980
lodash/lodash,2012-04-07T04:11:46Z,2022-08-25T12:33:12Z,2,JavaScript,573,4029,3763
kelseyhightower/nocode,2018-02-06T23:54:00Z,2022-08-25T14:24:42Z,1,Dockerfile,1,4344,571
gatsbyjs/gatsby,2015-05-21T22:43:05Z,2022-08-25T14:05:16Z,118,JavaScript,16940,13584,13502
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,2022-08-25T14:00:02Z,0,Assembly,302,374,316
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,2022-08-25T13:26:18Z,32,JavaScript,640,1274,1268
ElemeFE/element,2016-09-03T06:19:26Z,2022-08-25T13:54:07Z,140,Vue,3192,17178,15132
godotengine/godot,2014-01-04T16:05:36Z,2022-08-25T14:12:12Z,40,C++,22939,35109,28631
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2022-08-25T14:06:15Z,5,JavaScript,668,326,243
apache/echarts,2013-04-03T03:18:59Z,2022-08-25T13:09:51Z,103,TypeScript,1065,16027,13915
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,2022-08-25T13:30:52Z,0,JavaScript,138,42,32
